Area,Date,NumPatients,Disease
North,2023-01-01,36,Dengue
South,2023-01-01,89,Dengue
East,2023-01-01,70,Flu
West,2023-01-01,52,Dengue
Central,2023-01-01,64,Dengue
North,2023-01-31,78,Dengue
South,2023-01-31,65,Covid
East,2023-01-31,104,Dengue
West,2023-01-31,53,Flu
Central,2023-01-31,41,Flu
North,2023-03-02,34,Malaria
South,2023-03-02,67,Malaria
East,2023-03-02,23,Dengue
West,2023-03-02,82,Malaria
Central,2023-03-02,84,Covid
North,2023-04-01,113,Dengue
South,2023-04-01,38,Malaria
East,2023-04-01,80,Dengue
West,2023-04-01,34,Malaria
Central,2023-04-01,46,Malaria
North,2023-05-01,12,Malaria
South,2023-05-01,103,Dengue
East,2023-05-01,93,Flu
West,2023-05-01,70,Malaria
Central,2023-05-01,85,Dengue
North,2023-05-31,33,Covid
South,2023-05-31,106,Flu
East,2023-05-31,62,Covid
West,2023-05-31,30,Covid
Central,2023-05-31,82,Flu
North,2023-06-30,67,Flu
South,2023-06-30,35,Flu
East,2023-06-30,96,Flu
West,2023-06-30,76,Dengue
Central,2023-06-30,70,Malaria
North,2023-07-30,73,Flu
South,2023-07-30,56,Dengue
East,2023-07-30,44,Covid
West,2023-07-30,55,Covid
Central,2023-07-30,45,Flu
North,2023-08-29,47,Dengue
South,2023-08-29,75,Dengue
East,2023-08-29,55,Covid
West,2023-08-29,84,Flu
Central,2023-08-29,69,Flu
North,2023-09-28,47,Dengue
South,2023-09-28,60,Dengue
East,2023-09-28,103,Flu
West,2023-09-28,78,Malaria
Central,2023-09-28,48,Malaria
North,2023-10-28,75,Covid
South,2023-10-28,86,Flu
East,2023-10-28,80,Covid
West,2023-10-28,84,Flu
Central,2023-10-28,75,Flu
North,2023-11-27,81,Flu
South,2023-11-27,72,Flu
East,2023-11-27,37,Flu
West,2023-11-27,37,Covid
Central,2023-11-27,104,Flu
North,2023-12-27,78,Covid
South,2023-12-27,91,Malaria
East,2023-12-27,74,Dengue
West,2023-12-27,77,Flu
Central,2023-12-27,60,Malaria
North,2024-01-26,24,Malaria
South,2024-01-26,35,Covid
East,2024-01-26,18,Covid
West,2024-01-26,27,Dengue
Central,2024-01-26,86,Dengue
North,2024-02-25,95,Covid
South,2024-02-25,28,Flu
East,2024-02-25,68,Dengue
West,2024-02-25,22,Malaria
Central,2024-02-25,59,Dengue
North,2024-03-26,16,Malaria
South,2024-03-26,94,Dengue
East,2024-03-26,39,Dengue
West,2024-03-26,88,Flu
Central,2024-03-26,35,Dengue
North,2024-04-25,75,Malaria
South,2024-04-25,49,Malaria
East,2024-04-25,92,Flu
West,2024-04-25,83,Covid
Central,2024-04-25,77,Malaria
North,2024-05-25,104,Flu
South,2024-05-25,70,Dengue
East,2024-05-25,118,Flu
West,2024-05-25,27,Malaria
Central,2024-05-25,65,Malaria
North,2024-06-24,109,Covid
South,2024-06-24,59,Malaria
East,2024-06-24,30,Dengue
West,2024-06-24,40,Covid
Central,2024-06-24,78,Covid
North,2024-07-24,95,Dengue
South,2024-07-24,63,Dengue
East,2024-07-24,57,Malaria
West,2024-07-24,57,Dengue
Central,2024-07-24,81,Malaria
North,2024-08-23,54,Covid
South,2024-08-23,18,Malaria
East,2024-08-23,27,Dengue
West,2024-08-23,23,Malaria
Central,2024-08-23,71,Covid
North,2024-09-22,101,Flu
South,2024-09-22,103,Dengue
East,2024-09-22,57,Dengue
West,2024-09-22,110,Malaria
Central,2024-09-22,45,Dengue
North,2024-10-22,86,Malaria
South,2024-10-22,87,Flu
East,2024-10-22,57,Dengue
West,2024-10-22,88,Flu
Central,2024-10-22,53,Dengue
North,2024-11-21,81,Dengue
South,2024-11-21,28,Malaria
East,2024-11-21,95,Flu
West,2024-11-21,42,Malaria
Central,2024-11-21,49,Flu
